epoch,split,aug_name,loss,accuracy,tpr_class0,tpr_class1,tpr_class2,tpr_class3,tpr_class4,tpr_class5,tpr_class6,tpr_class7,tpr_class8,tpr_class9
1,train,light,0.18885189825369988,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,light,0.4337221020339402,0.8535185185185186,0.955,0.99,0.7916666666666666,0.758,0.66,0.45,0.982,0.8333333333333334,0.978,0.9966666666666667
2,train,light,0.06342249889248683,0.9803703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,light,0.3231686497815557,0.8868518518518519,0.8583333333333333,0.9833333333333333,0.8516666666666667,0.72,0.762,0.7275,0.99,0.9233333333333333,0.988,0.9966666666666667
3,train,light,0.0404347570369273,0.9867901234567901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,val,light,0.38727212089769264,0.8566666666666667,0.86,0.9916666666666667,0.635,0.914,0.832,0.41,0.912,0.9166666666666666,0.988,0.995
4,train,light,0.03461377215974125,0.9891358024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,val,light,0.3977348764654663,0.8644444444444445,0.8033333333333333,0.9983333333333333,0.74,0.836,0.644,0.6625,0.958,0.9616666666666667,0.992,0.9766666666666667
5,train,light,0.025925723788914858,0.9917283950617284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,val,light,0.5219021268867396,0.8274074074074074,0.9583333333333334,0.9916666666666667,0.8283333333333334,0.676,0.416,0.6475,0.97,0.7,0.984,0.9983333333333333
6,train,light,0.01711677653806997,0.994320987654321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,val,light,0.6356976972933841,0.7805555555555556,0.8316666666666667,0.9966666666666667,0.5666666666666667,0.72,0.624,0.4025,0.978,0.6016666666666667,0.994,0.9966666666666667
7,train,light,0.02799158596629162,0.9915432098765432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,val,light,0.5881180893771213,0.8148148148148148,0.4116666666666667,0.9966666666666667,0.595,0.81,0.696,0.6875,0.984,0.9733333333333334,0.99,0.9983333333333333
8,train,light,0.015757238212397988,0.9954938271604938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,val,light,0.7486737012090506,0.7814814814814814,0.8533333333333334,0.9983333333333333,0.4766666666666667,0.82,0.574,0.46,0.988,0.595,0.986,0.9966666666666667
9,train,light,0.021826637863859903,0.9930246913580247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,val,light,0.6372848616891955,0.8059259259259259,0.9533333333333334,1.0,0.4683333333333333,0.782,0.462,0.5325,0.958,0.82,0.986,1.0
10,train,light,0.009405461221036535,0.9974074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,val,light,0.5240055920338799,0.8444444444444444,0.775,0.9966666666666667,0.7666666666666667,0.864,0.55,0.515,0.978,0.9033333333333333,0.988,0.9983333333333333
1,train,strong,0.1893134073158841,0.942283950617284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,strong,0.35905914017982365,0.8740740740740741,0.945,0.9816666666666667,0.79,0.692,0.742,0.7625,0.942,0.8583333333333333,0.964,1.0
2,train,strong,0.07936439893725845,0.9748148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,strong,0.39618882878804235,0.8577777777777778,0.8466666666666667,1.0,0.6483333333333333,0.884,0.478,0.8375,0.952,0.915,0.99,0.9983333333333333
3,train,strong,0.05543024955064426,0.9818518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,val,strong,0.6152240004837599,0.7998148148148149,0.845,1.0,0.36666666666666664,0.77,0.476,0.485,0.986,0.99,0.976,1.0
4,train,strong,0.051546313103150436,0.9831481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,val,strong,0.5116541482436608,0.8390740740740741,0.9333333333333333,0.9983333333333333,0.8583333333333333,0.834,0.502,0.5275,0.97,0.6683333333333333,0.986,0.9983333333333333
5,train,strong,0.03817369132268208,0.9874691358024691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,val,strong,0.3929934595921077,0.8711111111111111,0.9433333333333334,0.9966666666666667,0.765,0.764,0.518,0.845,0.974,0.8733333333333333,0.996,0.9883333333333333
6,train,strong,0.03049815887309335,0.9903703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,val,strong,0.35745644092404594,0.88,0.965,0.9933333333333333,0.68,0.814,0.83,0.71,0.966,0.8183333333333334,0.988,0.9916666666666667
7,train,strong,0.029692706941270533,0.9910493827160494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,val,strong,0.2677233796443195,0.9103703703703704,0.9033333333333333,0.9883333333333333,0.7716666666666666,0.808,0.866,0.8325,0.97,0.9566666666666667,0.978,1.0
8,train,strong,0.0314145803226181,0.9903086419753087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,val,strong,0.2981347234418219,0.8985185185185185,0.9333333333333333,1.0,0.715,0.762,0.884,0.7725,0.948,0.9333333333333333,0.994,1.0
9,train,strong,0.03254186076882445,0.9895061728395061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,val,strong,0.6591365532754248,0.807962962962963,0.985,1.0,0.6983333333333334,0.756,0.37,0.6975,0.96,0.5566666666666666,0.994,1.0
10,train,strong,0.024390385747415783,0.9916049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,val,strong,1.1558430996819677,0.6903703703703704,0.805,1.0,0.41833333333333333,0.53,0.398,0.4475,0.976,0.27666666666666667,0.994,1.0
